カテゴリ: インターネット、通信事業

月,Angular: (すべての国),jQuery: (すべての国),React: (すべての国),Vue.js: (すべての国)
2005-01,0,0,1,0
2005-02,1,0,0,0
2005-03,2,0,0,1
2005-04,1,0,1,1 未満
2005-05,0,0,1 未満,1
2005-06,1,0,2,1 未満
2005-07,1,0,1 未満,0
2005-08,1,0,0,0
2005-09,1 未満,0,0,1
2005-10,1,0,1,1
2005-11,1,0,1 未満,0
2005-12,1 未満,0,1 未満,1
2006-01,1 未満,0,1 未満,1
2006-02,1 未満,0,1,0
2006-03,0,0,1 未満,1 未満
2006-04,1,0,0,1
2006-05,1,0,1,0
2006-06,1,1 未満,1 未満,1
2006-07,1 未満,1 未満,0,1
2006-08,1 未満,1,1,1
2006-09,0,1,0,1
2006-10,1 未満,1,1,1 未満
2006-11,1,2,1 未満,1
2006-12,1 未満,1,0,1 未満
2007-01,1 未満,1,1 未満,1 未満
2007-02,0,2,1,1 未満
2007-03,1,2,1 未満,1 未満
2007-04,1,2,1 未満,1
2007-05,1 未満,4,1 未満,1 未満
2007-06,1 未満,3,1 未満,1
2007-07,1 未満,5,1,1
2007-08,1 未満,4,1 未満,1
2007-09,1 未満,4,1,1 未満
2007-10,1 未満,4,1 未満,1 未満
2007-11,1 未満,6,1,1
2007-12,1,7,1,1 未満
2008-01,1,5,1,1 未満
2008-02,1 未満,7,1 未満,1 未満
2008-03,1 未満,10,1 未満,1 未満
2008-04,1 未満,9,1 未満,1 未満
2008-05,1 未満,9,1,1 未満
2008-06,1 未満,13,1,1 未満
2008-07,1 未満,15,1 未満,1
2008-08,1,17,1,1
2008-09,1 未満,18,1 未満,1
2008-10,1 未満,18,1,1
2008-11,1,19,1 未満,1 未満
2008-12,1 未満,20,1 未満,1
2009-01,0,24,1 未満,1
2009-02,1 未満,31,1,1
2009-03,1 未満,31,1,1
2009-04,1 未満,32,1 未満,1
2009-05,1 未満,32,1 未満,1
2009-06,1 未満,34,1 未満,1 未満
2009-07,1 未満,37,1,1
2009-08,1 未満,40,1 未満,1
2009-09,1 未満,43,1 未満,1
2009-10,1 未満,43,1 未満,1 未満
2009-11,1,44,1,1
2009-12,1 未満,44,1 未満,1
2010-01,1 未満,49,1 未満,1
2010-02,1 未満,53,1 未満,1
2010-03,1 未満,60,1 未満,1 未満
2010-04,1 未満,58,1,1
2010-05,1 未満,62,1 未満,1
2010-06,1 未満,65,1,1 未満
2010-07,1 未満,63,1,1
2010-08,1 未満,62,1 未満,1
2010-09,1 未満,67,1 未満,1
2010-10,1,64,1 未満,1
2010-11,1 未満,69,1 未満,1
2010-12,1 未満,64,1 未満,1
2011-01,1 未満,68,1 未満,1 未満
2011-02,1 未満,73,1 未満,1 未満
2011-03,1 未満,80,1 未満,1 未満
2011-04,1 未満,78,1 未満,1 未満
2011-05,1 未満,81,1 未満,1 未満
2011-06,1 未満,86,1 未満,1
2011-07,1 未満,87,1 未満,1 未満
2011-08,1 未満,93,1,1 未満
2011-09,1 未満,84,1 未満,1 未満
2011-10,1 未満,87,1,1 未満
2011-11,1 未満,92,1 未満,1 未満
2011-12,1 未満,87,1 未満,1 未満
2012-01,1 未満,83,1 未満,1 未満
2012-02,1,95,1,1 未満
2012-03,1 未満,97,1 未満,1 未満
2012-04,1,98,1 未満,1 未満
2012-05,1 未満,95,1,1 未満
2012-06,1,97,1 未満,1 未満
2012-07,1,100,1 未満,1 未満
2012-08,1,97,1 未満,1 未満
2012-09,1,98,1 未満,1 未満
2012-10,1,94,1 未満,1
2012-11,1,96,1 未満,1 未満
2012-12,1,85,1,1 未満
2013-01,1,89,1,1 未満
2013-02,2,98,1 未満,1 未満
2013-03,2,94,1 未満,1 未満
2013-04,3,92,1 未満,1
2013-05,4,95,1 未満,1 未満
2013-06,4,95,1 未満,1 未満
2013-07,4,97,1,1 未満
2013-08,4,89,1 未満,1 未満
2013-09,5,90,1 未満,1 未満
2013-10,7,91,1 未満,1 未満
2013-11,6,88,1,1 未満
2013-12,6,84,3,1 未満
2014-01,6,84,2,1 未満
2014-02,8,87,1,1 未満
2014-03,9,86,1,1 未満
2014-04,9,87,1,1 未満
2014-05,9,87,1,1 未満
2014-06,9,85,1,1 未満
2014-07,12,87,1,1 未満
2014-08,11,81,2,1 未満
2014-09,13,84,1,1 未満
2014-10,14,80,2,1 未満
2014-11,13,77,2,1 未満
2014-12,13,73,2,1 未満
2015-01,14,70,3,1 未満
2015-02,16,75,4,1 未満
2015-03,17,78,4,1 未満
2015-04,17,78,4,1 未満
2015-05,17,73,4,1 未満
