,doc,date,co
0,"Systems, methods, and apparatus for accessing distributed models in automated machine processing, including using large language models in machine translation, speech recognition and other applications.",20140523,Google
1,"A data processing method includes obtaining text information corresponding to a presented content, the presented content comprising a plurality of areas; performing text analysis on the text information to obtain a first keyword sequence, the first keyword sequence including area keywords associated with at least one area of the plurality of areas; obtaining speech information related to the presented content, the speech information at least comprising a current speech segment; and using a first model network to perform analysis on the current speech segment to determine the area corresponding to the current speech segment, wherein the first model network comprises the first keyword sequence.",20130716,IBM
2,"Automatically creating word breakers which segment words into morphemes is described, for example, to improve information retrieval, machine translation or speech systems. In embodiments a cross-lingual phrase table, comprising source language (such as Turkish) phrases and potential translations in a target language (such as English) with associated probabilities, is available. In various examples, blocks of source language phrases from the phrase table are created which have similar target language translations. In various examples, inference using the target language translations in a block enables stem and affix combinations to be found for source language words without the need for input from human-judges or prior knowledge of source language linguistic rules or a source language lexicon.",20130411,Microsoft
3,"Methods and apparatus are provided for controlling a function based on speech recognition. Speech input in a first language is recognized. Dictation, which converts the speech input into text based on the first language, is performed. A language change event is detected. Additional speech input in a second language, which is different from the first language, is recognized after the language change event. Dictation, which converts the additional speech input into additional text based on the second language, is performed.",20140325,SAMSUNG
4,"According to one embodiment, a speech translation apparatus includes a speech recognition unit, a translation unit, a search unit and a selection unit. The speech recognition unit successively performs speech recognition to obtain a first language word string. The translation unit translates the first language word string into a second language word string. The search unit search for at least one similar example and acquires the similar example and a translation example. The selection unit selects, in accordance with a user instruction, at least one of the first language word string associated with the similar example and the second language word string associated with the translation example, as a selected word string.",20130409,TOSHIBA
5,"According to one embodiment, a content creation support apparatus includes a speech synthesis unit, a speech recognition unit, an extraction unit, a detection unit, a presentation unit and a selection unit. The speech synthesis unit performs a speech synthesis on a first text. The speech recognition unit performs a speech recognition on the synthesized speech to obtain a second text. The extraction unit extracts feature values by performing a morphological analysis on each of the first and second texts. The detection unit compares a first feature value of a first difference string and a second feature value of a second difference string. The presentation unit presents correction candidate(s) according to the second feature value. The selection unit selects one of the correction candidates in accordance with an instruction from a user.",20140611,TOSHIBA
6,"A first speech input device captures a speech of a first language. A first speech output device outputs another speech of the first language. A second speech input device captures a speech of a second language. A second speech output device outputs another speech of the second language. In a speech recognition/translation server, a first speech recognition device receives a first utterance speech of the first language from the first speech input device, and recognizes the first utterance speech. A first machine translation device consecutively translates the first language of the recognition result into the second language without waiting completion of the first utterance speech. A first speech synthesis device generates a second speech of the translation result. A first output adjustment device outputs the first utterance speech and the second speech to the second speech output device by adjusting a volume of the first utterance speech to be smaller than a volume of the second speech.",20140916,TOSHIBA
7,"The subject matter of this specification can be implemented in, among other things, a computer-implemented method for correcting words in transcribed text including receiving speech audio data from a microphone. The method further includes sending the speech audio data to a transcription system. The method further includes receiving a word lattice transcribed from the speech audio data by the transcription system. The method further includes presenting one or more transcribed words from the word lattice. The method further includes receiving a user selection of at least one of the presented transcribed words. The method further includes presenting one or more alternate words from the word lattice for the selected transcribed word. The method further includes receiving a user selection of at least one of the alternate words. The method further includes replacing the selected transcribed word in the presented transcribed words with the selected alternate word.",20150623,Google
8,"Embodiments that relate to identifying potential cross-language speech recognition problems are disclosed. For example, in one disclosed embodiment a speech recognition problem detection program receives a target word in a non-native language from a target application. A phonetic transcription of the target word comprising a plurality of target phonetic units is acquired. The program determines that at least one of the target phonetic units is not found in a plurality of native phonetic units associated with a native language. In response, a warning of the potential cross-language speech recognition problem may be outputted for display on a display device. The warning may comprise the target word.",20131106,Microsoft
9,"Systems and methods are provided for translating a phrase block and presenting meanings and translations of the phrase block. Consistent with certain embodiments, computer-implemented systems and methods are provided for identifying parts of speech of the phrase block, determining definitions of the phrase block in the source language corresponding to the parts of speech, and determining usage examples corresponding to the definitions. Additionally, systems and methods are provided for translating the phrase block from the source language to translated text and for ranking the parts of speech based on usage. Consistent with certain embodiments, computer-implemented systems and methods are also provided for determining usage based on a user's location, based on a corpus of documents, and/or based on content stored by the user. Systems and methods are also provided for displaying the phrase block, definitions and usage examples of the phrase block, and/or translations of the phrase block according to the ranking.",20141208,Google
10,"According to one embodiment, a speech translation system includes a first terminal device including a first speech input unit for inputting a first speech of a first language spoken by a first user, and converting the first speech to a first speech signal; a second terminal device including a second speech input unit for inputting a second speech of a second language spoken by a second user, and converting the second speech to a second speech signal; a speech recognition device that receives the first speech signal and the second speech signal, recognizes the first speech signal to a first recognized text, and recognizes the second speech signal to a second recognized text; a machine translation device that receives the first recognized text and the second recognized text, translates the first recognized text to a first translated text of the second language, and translates the second recognized text to a second translated text of the first language; and a control device; wherein the first terminal device receives (a) a first text set of the first language being the first recognized text and the second translated text, and (b) a second text set of the second language being the second recognized text and the first translated text, and includes a first display unit that displays the first text set and the second text set; and the second terminal device receives at least one text of the second text set, and includes a second display unit that displays the at least one text of the second text set.",20140923,TOSHIBA
11,"The disclosed subject matter provides a system, computer readable storage medium, and a method providing an audio and textual transcript of a communication. A conferencing services may receive audio or audio visual signals from a plurality of different devices that receive voice communications from participants in a communication, such as a chat or teleconference. The audio signals representing voice (speech) communications input into respective different devices by the participants. A translation services server may receive over a separate communication channel the audio signals for translation into a second language. As managed by the translation services server, the audio signals may be converted into textual data. The textual data may be translated into text of different languages based the language preferences of the end user devices in the teleconference. The translated text may be further translated into audio signals.",20150817,Google
12,"A method and system for analyzing language morphology to facilitate statistical machine translation from a first language to a target language is disclosed. The method and system can include marking words in a first language text with a part-of-speech tag, and parsing one or more sentences in the first language text to determine syntactic dependence relations between the words in the one or more sentences of the first language text. Morphological features of the words in the first language text can also be extracted. The method and system can also include tagging the words in the first language text with a language morphology tag from a second language. A modified form of words in the first language text can be generated using the language morphology tags from the second language. The modified form of the words can be used to facilitate translation from the first language to a target language.",20131204,IBM
13,The customization of language modeling components for speech recognition is provided. A list of language modeling components may be made available by a computing device. A hint may then be sent to a recognition service provider for combining the multiple language modeling components from the list. The hint may be based on a number of different domains. A customized combination of the language modeling components based on the hint may then be received from the recognition service provider.,20140327,Microsoft
14,"According to an embodiment, a speech translation apparatus includes an allocator, a searcher and a sorter. The allocator allocates, to each of the phrases in the set of phrases, a weight dependent on a difference between a current dialog status and a dialog status associated with an original speech sound that corresponds to a text in which each of the phrases appears. The searcher searches the plurality of examples in the first language for an example including one or more phrases included in the set of phrases to obtain a hit example set. The sorter calculates a score of each of hit examples included in the hit example set based on the weight and the degree of similarity to sort the hit examples based on the score.",20141223,TOSHIBA
15,"In language evaluation systems, user expressions are often evaluated by speech recognizers and language parsers, and among several possible translations, a highest-probability translation is selected and added to a dialogue sequence. However, such systems may exhibit inadequacies by discarding alternative translations that may initially exhibit a lower probability, but that may have a higher probability when evaluated in the full context of the dialogue, including subsequent expressions. Presented herein are techniques for communicating with a user by formulating a dialogue hypothesis set identifying hypothesis probabilities for a set of dialogue hypotheses, using generative and/or discriminative models, and repeatedly re-ranks the dialogue hypotheses based on subsequent expressions. Additionally, knowledge sources may inform a model-based with a pre-knowledge fetch that facilitates pruning of the hypothesis search space at an early stage, thereby enhancing the accuracy of language parsing while also reducing the latency of the expression evaluation and economizing computing resources.",20131121,Microsoft
16,"According to one embodiment, a simultaneous speech processing apparatus includes an acquisition unit, a speech recognition unit, a detection unit and an output unit. The acquisition unit acquires a speech signal. The speech recognition unit generates a decided character string and at least one candidate character string. The detection unit detects a first character string as a processing piece character string if the first character string included in the decided character string exists commonly in one or more combined character strings on dividing the one or more combined character strings by a boundary indicating a morphological position serving as a start position of a processing piece in natural language processing. The output unit outputs the processing piece character string.",20140919,TOSHIBA
17,"Systems and methods are provided for improving language models for speech recognition by adapting knowledge sources utilized by the language models to session contexts. A knowledge source, such as a knowledge graph, is used to capture and model dynamic session context based on user interaction information from usage history, such as session logs, that is mapped to the knowledge source. From sequences of user interactions, higher level intent sequences may be determined and used to form models that anticipate similar intents but with different arguments including arguments that do not necessarily appear in the usage history. In this way, the session context models may be used to determine likely next interactions or “turns” from a user, given a previous turn or turns. Language models corresponding to the likely next turns are then interpolated and provided to improve recognition accuracy of the next turn received from the user.",20140618,Microsoft
18,"According to one embodiment, a speech of a first language is recognized using a speech recognition dictionary to recognize the first language and a second language, and a source sentence of the first language is generated. The source sentence is translated into a second language, and a translation sentence of the second language is generated. An unknown word included in the translation sentence is detected. The unknown word is not stored in the speech recognition dictionary. A first pronunciation candidate of the unknown word is estimated, from a representation of the unknown word. A second pronunciation candidate of the unknown word is estimated from a pronunciation of an original word included in the source sentence corresponding to the unknown word. The unknown word, the first pronunciation candidate and the second pronunciation candidate, are registered into the speech recognition dictionary correspondingly.",20140912,TOSHIBA
19,"According to one embodiment, a speech translation apparatus includes a speech recognition unit, a translation unit, a search unit and a selection unit. The speech recognition unit successively performs speech recognition to obtain a first language word string. The translation unit translates the first language word string into a second language word string. The search unit search for at least one similar example and acquires the similar example and a translation example. The selection unit selects, in accordance with a user instruction, at least one of the first language word string associated with the similar example and the second language word string associated with the translation example, as a selected word string.",20150326,TOSHIBA
20,"A method, system and computer program product for presenting tags of a tag cloud in a more understandable and visually appealing manner. Tags of a tag cloud that are associated with an object (e.g., web page) are retrieved. The retrieved tags are then assigned to parts of speech (e.g., noun, verb, adjective, adverb). Combinations of the tags are then generated based on the parts of speech assigned to the tags. For example, the combinations of the tags may be based on a template, such as <NOUN> <VERB> <ADJECTIVE>, <PRONOUN> <VERB> <ADJECTIVE>, <PRONOUN> is <ADVERB> <VERB> and so forth. The combinations of the tags are then presented after determining the layout to display the generated combinations of tags. Since the tags of the tag cloud are presented in a combination based on the parts of speech assigned to the tags, the tag cloud is more understandable and visually appealing.",20140108,IBM
21,"A server and method for correcting an error of a voice recognition result are provided. The method includes, in response to recognizing a user voice, determining a pattern of parts of speech of text data corresponding to the recognized user voice; comparing a prestored standard pattern of parts of speech with the pattern of parts of speech of text data; detecting an error region of the recognized user voice based on a result of the comparing; and correcting the text data corresponding to the detected error region.",20141224,SAMSUNG
22,"Architecture for playing a document converted into an audio format to a user of an audio-output capable device. The user can interact with the device to control play of the audio document such as pause, rewind, forward, etc. In more robust implementation, the audio-output capable device is a mobile device (e.g., cell phone) having a microphone for processing voice input. Voice commands can then be input to control play (“reading”) of the document audio file to pause, rewind, read paragraph, read next chapter, fast forward, etc. A communications server (e.g., email, attachments to email, etc.) transcodes text-based document content into an audio format by leveraging a text-to-speech (TTS) engine. The transcoded audio files are then transferred to mobile devices through viable transmission channels. Users can then play the audio-formatted document while freeing hand and eye usage for other tasks.",20150810,Microsoft
23,"Some implementations include a computer-implemented method. The method can include providing a training set of text samples to a semantic parser that associates text samples with actions. The method can include obtaining, for each of one or more of the text samples of the training set, data that indicates one or more domains that the semantic parser has associated with the text sample. For each of one or more domains, a subset of the text samples of the training set can be generated that the semantic parser has associated with the domain. Using the subset of text samples associated with the domain, a language model can be generated for one or more of the domain. Speech recognition can be performed on an utterance using the one or more language models that are generated for the one or more of the domains.",20140401,Google
24,"The disclosure pertains to a communication system for effecting a voice or video call between at least a source user speaking a source language and a target user speaking a target language. A translation procedure is performed on call audio of the call to generate an audio translation of the source user's speech in the target language for outputting to the target user. A notification is outputted to the target user to notify the target user of a change in the behaviour of the translation procedure, the change relating to the generation of the translation.",20150213,Microsoft
25,"According to one embodiment, a markup assistance apparatus includes an acquisition unit, a first calculation unit, a detection unit and a presentation unit. The acquisition unit acquires a feature amount for respective tags, each of the tags being used to control text-to-speech processing of a markup text. The first calculation unit calculates, for respective character strings, a variance of feature amounts of the tags which are assigned to the character string in a markup text. The detection unit detects a first character string assigned a first tag having the variance not less than a first threshold value as a first candidate including the tag to be corrected. The presentation unit presents the first candidate.",20150115,TOSHIBA
26,"Call audio of a call between a source user speaking a source language and a target user speaking a target language is received from a remote source user device of a source user via a communication network of a communication system, the call audio comprising speech of the source user in the source language. An automatic speech recognition procedure is performed on the call audio. A translation of the source user's speech is generated in the target language using the results of the speech recognition procedure. A translated synthetic speech audio version of the source user's speech is mixed with the source user's call audio and/or with translated audio of the target user's speech in the source language. The mixed audio signal is transmitted to a remote target user device of the target user via the communication network for outputting to at least the target user during the call.",20150211,Microsoft
